Parent	Child	BS.Prob	edgeScore	BS.Direction
CDC42EP2	ACTA2	0.112400	0.112400	0.901246
ACTA2	CDC42EP5	0.191900	0.191900	0.912976
ACTA2	CDH11	0.161000	0.161000	0.955280
ACTA2	CDH3	0.282700	0.282700	0.637071
ACTA2	CEACAM1	0.089100	0.089100	0.762065
CENPF	ACTA2	0.061800	0.061800	0.501618
ACTA2	CHAF1A	0.116100	0.116100	0.832903
ACTA2	CHI3L1	0.193000	0.193000	0.717617
CLDN5	ACTA2	0.089100	0.089100	0.952862
ACTA2	CNIH4	0.087800	0.087800	0.914579
ACTA2	CRYAB	0.125500	0.125500	0.546614
ACTA2	CTGF	0.462000	0.462000	0.862771
ACTA2	CTPS	0.055800	0.055800	0.577061
ACTA2	CXCL14	0.126700	0.126700	0.924230
CYR61	ACTA2	0.143100	0.143100	0.955975
ACTA2	DNM1L	0.054300	0.054300	0.930018
ACTA2	EDNRA	0.087600	0.087600	0.974886
ACTA2	EEF1E1	0.093800	0.093800	0.868870
ACTA2	EGR1	0.079200	0.079200	0.883838
ACTA2	EIF2AK2	0.123300	0.123300	0.948905
ACTA2	EMG1	0.060900	0.060900	0.609195
FBXO32	ACTA2	0.458200	0.458200	0.517460
ACTA2	FGF1	0.606000	0.606000	0.798515
ACTA2	FOS	0.053200	0.053200	0.874060
ACTA2	GNB2L1	0.101500	0.101500	0.768473
ACTA2	GNG11	0.069600	0.069600	0.863506
HAS3	ACTA2	0.155300	0.155300	0.971024
ACTA2	HOXA3	0.161300	0.161300	0.569126
ACTA2	HS3ST2	0.186000	0.186000	0.547312
ACTA2	IGFBP4	0.175000	0.175000	0.953714
IGFBP6	ACTA2	0.080200	0.080200	0.826683
ACTA2	IGFBP7	0.176000	0.176000	0.986364
ACTA2	IL1F7	0.068700	0.068700	0.525473
ACTA2	INHBA	0.093900	0.093900	0.962726
ACTA2	ISLR	0.068700	0.068700	0.946143
ACTA2	ITGA6	0.374600	0.374600	0.822477
ITGA7	ACTA2	0.217100	0.217100	0.543989
ACTA2	ITGB1	0.067900	0.067900	0.988218
ACTA2	KIAA1199	0.295400	0.295400	0.933311
ACTA2	KLF10	0.114500	0.114500	0.815721
ACTA2	KLF4	0.065300	0.065300	0.781011
ACTA2	KLHDC5	0.075500	0.075500	0.597351
KRT14	ACTA2	0.134900	0.134900	0.673832
ACTA2	LAMB2	0.240400	0.240400	0.894759
ACTA2	LOC284542	0.265400	0.265400	0.592313
ACTA2	LOC642031	0.059400	0.059400	0.863636
MRAS	ACTA2	0.057600	0.057600	0.873264
ACTA2	MTSS1	0.334100	0.334100	0.792577
ACTA2	MXRA8	0.148400	0.148400	0.958221
ACTA2	MYL9	0.968800	0.968800	0.578035
ACTA2	MYLK	0.985700	0.985700	0.513848
ACTA2	NBL1	0.092500	0.092500	0.993514
ACTA2	NCOR1	0.137400	0.137400	0.938865
NFAT5	ACTA2	0.087400	0.087400	0.970252
NGFR	ACTA2	0.075800	0.075800	0.850923
ACTA2	NLGN4Y	0.070400	0.070400	0.828125
NRG1	ACTA2	0.136500	0.136500	0.610989
ACTA2	NRN1	0.086700	0.086700	0.925029
PDE2A	ACTA2	0.142100	0.142100	0.722027
PLA2G4A	ACTA2	0.110900	0.110900	0.717764
ACTA2	PLCH2	0.091300	0.091300	0.964951
ACTA2	PLD2	0.114400	0.114400	0.699301
ACTA2	PPAP2A	0.137900	0.137900	0.535170
PPP1R12B	ACTA2	0.722300	0.722300	0.603350
PRNP	ACTA2	0.243400	0.243400	0.983155
PTRF	ACTA2	0.528500	0.528500	0.539073
ACTA2	PYGB	0.070300	0.070300	0.880512
ACTA2	RAB22A	0.058400	0.058400	0.875000
RASD1	ACTA2	0.254200	0.254200	0.893391
RND3	ACTA2	0.418700	0.418700	0.574636
ACTA2	RORA	0.141100	0.141100	0.934089
ACTA2	RPS6KA2	0.078600	0.078600	0.968193
ACTA2	RRP15	0.156000	0.156000	0.590385
RYK	ACTA2	0.149400	0.149400	0.823963
SCN4B	ACTA2	0.284700	0.284700	0.885845
ACTA2	SGSH	0.177200	0.177200	0.885440
ACTA2	SLC25A37	0.061300	0.061300	0.982055
ACTA2	SPRR2C	0.093900	0.093900	0.888179
SPRY2	ACTA2	0.093900	0.093900	0.992545
SQLE	ACTA2	0.132900	0.132900	0.615500
ACTA2	ST3GAL6	0.267100	0.267100	0.585548
ACTA2	STAT1	0.110200	0.110200	0.901089
ACTA2	STC2	0.174500	0.174500	0.946705
SYNJ2	ACTA2	0.093800	0.093800	0.996802
ACTA2	TCF7L1	0.060300	0.060300	0.713101
ACTA2	THY1	0.192300	0.192300	0.959958
ACTA2	TIMP2	0.051900	0.051900	0.942197
ACTA2	TIMP3	0.352100	0.352100	0.961091
TNXB	ACTA2	0.051200	0.051200	0.875000
ACTA2	TPM1	0.507500	0.507500	0.919212
ACTA2	TPM2	0.628400	0.628400	0.603596
ACTA2	TPM3	0.115200	0.115200	0.677951
TSC22D1	ACTA2	0.070300	0.070300	0.802276
UBE2C	ACTA2	0.108000	0.108000	0.650926
ACTA2	UBE2L6	0.085600	0.085600	0.625000
ACTA2	WASF2	0.090900	0.090900	0.976898
ACTC1	ACTB	0.089300	0.089300	0.952968
ADAM10	ACTB	0.229100	0.229100	0.543867
ACTB	ADAM15	0.253000	0.253000	0.625296
ADAMTS7	ACTB	0.053700	0.053700	0.975791
ADCY7	ACTB	0.050300	0.050300	0.560636
B3GNT2	ACTB	0.521100	0.521100	0.707350
ACTB	BPGM	0.069500	0.069500	0.857554
ACTB	BZW2	0.160400	0.160400	0.972569
ACTB	CALM3	0.099900	0.099900	0.770771
ACTB	CAMKK2	0.053700	0.053700	0.886406
ACTB	CAPRIN2	0.106400	0.106400	0.536654
CASP6	ACTB	0.104100	0.104100	0.519693
CDC42	ACTB	0.393300	0.393300	0.888126
ACTB	CNFN	0.084900	0.084900	0.835100
CREB1	ACTB	0.329000	0.329000	0.943161
CRK	ACTB	0.637400	0.637400	0.926263
ACTB	CTNNB1	0.184300	0.184300	0.690722
ACTB	DOCK9	0.058000	0.058000	0.910345
ACTB	DOK7	0.109600	0.109600	0.805657
ACTB	DVL1	0.212300	0.212300	0.830429
ACTB	DVL3	0.345200	0.345200	0.892236
ACTB	DYNC1LI2	0.126800	0.126800	0.781546
EIF4E	ACTB	0.130800	0.130800	0.924312
ACTB	EPHA1	0.050000	0.050000	0.598000
ACTB	EWSR1	0.061300	0.061300	0.893964
FERMT1	ACTB	0.621400	0.621400	0.510299
FLJ35390	ACTB	0.064700	0.064700	1.000000
ACTB	GAPDH	0.323600	0.323600	0.760816
ACTB	GNAI2	0.100500	0.100500	0.843781
ACTB	GNAS	0.069700	0.069700	0.744620
ACTB	GNB2	0.321600	0.321600	0.644279
ACTB	GNG10	0.096300	0.096300	0.558671
ACTB	GSTK1	0.059000	0.059000	0.772881
HLA-G	ACTB	0.051600	0.051600	0.802326
HSP90AB1	ACTB	0.753900	0.753900	0.646903
HSPA5	ACTB	0.130100	0.130100	0.926211
HSPA8	ACTB	0.439600	0.439600	0.561419
ICAM1	ACTB	0.096200	0.096200	0.997921
ACTB	IFITM3	0.068700	0.068700	0.947598
ACTB	ILKAP	0.168000	0.168000	0.541667
ACTB	KHDRBS3	0.119500	0.119500	0.816736
ACTB	KRTAP1-3	0.051100	0.051100	0.857143
LIMK1	ACTB	0.633700	0.633700	0.520593
LOC399959	ACTB	0.073100	0.073100	0.502052
ACTB	MAP3K4	0.136400	0.136400	0.608504
MAPK1	ACTB	0.081600	0.081600	0.785539
ACTB	MYO10	0.098100	0.098100	0.902141
ACTB	NAGS	0.059400	0.059400	0.718855
ACTB	NDRG1	0.135400	0.135400	0.901034
ACTB	NPBWR1	0.267700	0.267700	0.856556
PDE4C	ACTB	0.082600	0.082600	0.766344
ACTB	PHGDH	0.055000	0.055000	0.925455
ACTB	PLA2G12A	0.068400	0.068400	0.703216
ACTB	PPP3CB	0.058700	0.058700	0.919932
ACTB	PRKCZ	0.146100	0.146100	0.518138
PRPF4B	ACTB	0.652300	0.652300	0.750115
ACTB	PTEN	0.082000	0.082000	0.908537
ACTB	RARG	0.095200	0.095200	0.704832
ACTB	RBL2	0.080300	0.080300	0.930262
ACTB	RCBTB1	0.053500	0.053500	0.588785
RHOA	ACTB	0.873000	0.873000	0.700916
RRP1	ACTB	0.090100	0.090100	0.998890
ACTB	SEPW1	0.051900	0.051900	0.603083
SET	ACTB	0.083900	0.083900	0.617402
ACTB	SF3A2	0.094100	0.094100	0.674814
SFXN4	ACTB	0.283400	0.283400	0.837685
ACTB	SGCA	0.123700	0.123700	0.821342
ACTB	SLC7A5	0.054400	0.054400	0.943015
SMAD2	ACTB	0.221800	0.221800	0.782236
ST3GAL2	ACTB	0.305800	0.305800	0.500654
STAT3	ACTB	0.116100	0.116100	0.567614
ACTB	TIMM13	0.126200	0.126200	0.915214
TK2	ACTB	0.077200	0.077200	0.716321
TPM4	ACTB	0.441100	0.441100	0.865337
UBE2D3	ACTB	0.277100	0.277100	0.986287
ACTB	VEGFA	0.304500	0.304500	0.594089
ACTB	YWHAH	0.608000	0.608000	0.525329
ACTN1	ACTC1	0.534100	0.534100	0.501030
ACTC1	ADAM8	0.060100	0.060100	0.953411
ADORA2B	ACTC1	0.052000	0.052000	0.859615
ARHGEF4	ACTC1	0.084800	0.084800	0.823113
ACTC1	BMPR1A	0.206800	0.206800	0.577853
ACTC1	BZW2	0.057300	0.057300	0.989529
ACTC1	CACNA1E	0.093700	0.093700	0.512273
ACTC1	CAT	0.065900	0.065900	0.760243
ACTC1	CCND2	0.066200	0.066200	0.546828
CDC42EP1	ACTC1	0.060600	0.060600	0.648515
CDC42EP2	ACTC1	0.115800	0.115800	0.917098
ACTC1	CDH3	0.092700	0.092700	0.854369
ACTC1	CEACAM1	0.372200	0.372200	0.752821
ACTC1	CHI3L1	0.215400	0.215400	0.681058
ACTC1	CHST2	0.259600	0.259600	0.634823
CHST3	ACTC1	0.276900	0.276900	0.992416
ACTC1	CHSY1	0.153300	0.153300	0.889759
CISH	ACTC1	0.086300	0.086300	0.837775
ACTC1	CITED4	0.103000	0.103000	0.973786
ACTC1	CTGF	0.477500	0.477500	0.843141
CYR61	ACTC1	0.061200	0.061200	0.972222
ACTC1	DEPDC7	0.305600	0.305600	0.696335
ACTC1	DNM3	0.198300	0.198300	0.516389
ACTC1	EEF1E1	0.077900	0.077900	0.622593
EMG1	ACTC1	0.122200	0.122200	0.770049
ACTC1	FBXO32	0.420200	0.420200	0.649215
FNDC4	ACTC1	0.121600	0.121600	0.995888
ACTC1	FOXC2	0.378600	0.378600	0.583201
ACTC1	GALR3	0.088400	0.088400	0.621041
HDAC8	ACTC1	0.061300	0.061300	0.663948
ACTC1	HIST1H3J	0.056200	0.056200	0.960854
HPS6	ACTC1	0.053200	0.053200	0.795113
ACTC1	HS3ST1	0.088300	0.088300	0.707814
HS3ST2	ACTC1	0.300600	0.300600	0.642715
ACTC1	HSPC159	0.274400	0.274400	0.614431
ITGA5	ACTC1	0.113900	0.113900	0.829675
ACTC1	ITGA6	0.272300	0.272300	0.775248
ACTC1	ITGB1	0.073000	0.073000	0.971233
ACTC1	KRT75	0.151300	0.151300	0.875083
LBX1	ACTC1	0.059000	0.059000	0.979661
ACTC1	LIMK1	0.395000	0.395000	0.754177
ACTC1	LOC650392	0.091700	0.091700	0.845147
LYNX1	ACTC1	0.263100	0.263100	0.627518
ACTC1	LYPLA2	0.426400	0.426400	0.855300
ACTC1	MAP1B	0.064500	0.064500	0.627907
ACTC1	MAP2K4	0.052800	0.052800	0.768939
ACTC1	MAP3K2	0.066200	0.066200	0.921450
ACTC1	MAP3K7	0.115300	0.115300	0.823938
ACTC1	MEF2A	0.286800	0.286800	0.669805
ACTC1	MESDC1	0.101400	0.101400	0.959566
MLX	ACTC1	0.060900	0.060900	0.990148
MMP19	ACTC1	0.053700	0.053700	0.783985
MRAS	ACTC1	0.096300	0.096300	0.873313
MSN	ACTC1	0.096100	0.096100	0.721124
ACTC1	MTSS1	0.429700	0.429700	0.514545
ACTC1	MVK	0.246600	0.246600	0.855637
ACTC1	MYL9	0.256000	0.256000	0.631250
MYLK	ACTC1	0.660700	0.660700	0.673982
MYO1E	ACTC1	0.077500	0.077500	0.629677
ACTC1	NCOR1	0.293300	0.293300	0.815547
ACTC1	PCK2	0.158300	0.158300	0.830069
ACTC1	PIK3C3	0.065300	0.065300	0.846861
ACTC1	PIM1	0.216200	0.216200	0.836263
PLA2G4A	ACTC1	0.116300	0.116300	0.789338
ACTC1	PLD2	0.118800	0.118800	0.765993
ACTC1	PPP1R12B	0.488600	0.488600	0.527835
ACTC1	PRKCZ	0.057000	0.057000	0.700000
ACTC1	PRKX	0.058300	0.058300	0.867925
RASD1	ACTC1	0.062300	0.062300	0.871589
RCBTB1	ACTC1	0.142700	0.142700	0.571829
ACTC1	RPS6KB2	0.076200	0.076200	0.828084
RYK	ACTC1	0.283600	0.283600	0.761283
ACTC1	SFXN4	0.074700	0.074700	0.697456
SLC29A1	ACTC1	0.064900	0.064900	0.738059
ACTC1	SMOX	0.051300	0.051300	0.563353
ACTC1	SNX22	0.092400	0.092400	0.831169
ACTC1	SOCS5	0.424400	0.424400	0.630773
ACTC1	SRC	0.063200	0.063200	0.908228
ST3GAL6	ACTC1	0.490000	0.490000	0.574082
ACTC1	STAM2	0.070700	0.070700	0.753890
ACTC1	STAT3	0.076600	0.076600	0.953003
SYNJ2	ACTC1	0.125200	0.125200	0.996805
ACTC1	TCF7L1	0.626200	0.626200	0.878633
ACTC1	TMEM87B	0.263500	0.263500	0.967742
VANGL1	ACTC1	0.080800	0.080800	0.709158
ACTC1	VPS28	0.063700	0.063700	0.744113
ACTC1	WBP4	0.056300	0.056300	0.877442
WWTR1	ACTC1	0.088800	0.088800	0.981982
ZNF224	ACTC1	0.086300	0.086300	0.584009
ZSCAN10	ACTC1	0.144800	0.144800	0.602210
ATP2A2	ACTG1	0.580000	0.580000	0.981897
ACTG1	ATP2B1	0.061000	0.061000	0.777049
BCAR1	ACTG1	0.232400	0.232400	1.000000
BCL3	ACTG1	0.168200	0.168200	0.991082
CASP1	ACTG1	0.151500	0.151500	0.827063
CCNE1	ACTG1	0.060000	0.060000	0.636667
CDK8	ACTG1	0.052100	0.052100	0.934741
CHST12	ACTG1	0.232300	0.232300	0.965131
CREBBP	ACTG1	0.156500	0.156500	0.973163
CSNK1A1	ACTG1	0.157200	0.157200	0.870229
CSNK1D	ACTG1	0.545600	0.545600	0.953629
ACTG1	DEAF1	0.071000	0.071000	0.777465
ACTG1	DNM2	0.218100	0.218100	0.540578
ACTG1	EFNB1	0.058700	0.058700	0.681431
EMILIN2	ACTG1	0.057900	0.057900	0.759931
FAM110C	ACTG1	0.188400	0.188400	0.742038
FDPS	ACTG1	0.235500	0.235500	0.994904
FZD8	ACTG1	0.084800	0.084800	0.977594
GALK1	ACTG1	0.103700	0.103700	0.993250
GNAS	ACTG1	0.214200	0.214200	0.552288
ACTG1	GPX4	0.071900	0.071900	0.731572
GPX7	ACTG1	0.127200	0.127200	0.857704
GSTK1	ACTG1	0.061800	0.061800	0.729773
ACTG1	HADH	0.133100	0.133100	0.968445
HK1	ACTG1	0.077900	0.077900	0.554557
HK2	ACTG1	0.110500	0.110500	0.795475
HSPA14	ACTG1	0.162800	0.162800	0.960688
ACTG1	HSPA4	0.098700	0.098700	0.603850
ACTG1	JHDM1D	0.189000	0.189000	0.645503
LTB	ACTG1	0.182200	0.182200	0.874863
MAP3K7	ACTG1	0.056500	0.056500	0.856637
MEX3D	ACTG1	0.096200	0.096200	0.707900
ACTG1	MKNK1	0.059800	0.059800	0.724080
PTAFR	ACTG1	0.076800	0.076800	0.640625
PTPMT1	ACTG1	0.128600	0.128600	0.968118
ACTG1	PYGL	0.087900	0.087900	0.825939
RHOT1	ACTG1	0.381100	0.381100	0.993702
